2025-04-24T22:59:41
Configurations(Methods):
Name,Touch Interfaces
config01,"Slider00, TS15, TS14, TS13, TS12, TS01"
Logs:
"config01:Slider00:Status",Threshold,Resolution,TS15:Measurement Value,TS14:Measurement Value,TS13:Measurement Value,TS12:Measurement Value,TS01:Measurement Value
65535,909,100,11457,11455,11442,11433,11506
65535,909,100,11474,11452,11464,11454,11513
65535,909,100,11475,11443,11438,11422,11515
65535,909,100,11479,11442,11458,11437,11515
65535,909,100,11481,11448,11462,11423,11525
65535,909,100,11482,11493,11443,11431,11519
65535,909,100,11476,11481,11455,11453,11530
65535,909,100,11488,11478,11460,11461,11530
65535,909,100,11486,11476,11474,11461,11502
65535,909,100,11487,11477,11483,11442,11506
65535,909,100,11492,11458,11479,11451,11516
65535,909,100,11490,11460,11483,11448,11485
65535,909,100,11486,11459,11488,11452,11494
65535,909,100,11478,11454,11497,11432,11515
65535,909,100,11460,11455,11472,11441,11515
65535,909,100,11473,11463,11479,11449,11510
65535,909,100,11474,11459,11455,11455,11487
65535,909,100,11461,11462,11462,11466,11512
65535,909,100,11450,11454,11465,11465,11476
65535,909,100,11452,11445,11441,11458,11485
65535,909,100,11459,11442,11460,11461,11475
65535,909,100,11449,11496,11426,11462,11499
65535,909,100,11461,11478,11438,11455,11515
65535,909,100,11450,11462,11443,11453,11485
65535,909,100,11446,11459,11459,11452,11490
65535,909,100,11425,11451,11468,11419,11489
65535,909,100,11440,11449,11454,11441,11499
65535,909,100,11436,11443,11466,11456,11477
65535,909,100,11428,11445,11446,11455,11496
65535,909,100,11434,11492,11456,11460,11504
65535,909,100,11436,11489,11465,11468,11513
65535,909,100,11443,11477,11467,11463,11511
65535,909,100,11451,11465,11434,11457,11475
65535,909,100,11446,11452,11410,11457,11456
65535,909,100,11460,11449,11397,11457,11469
65535,909,100,11451,11451,11420,11434,11477
65535,909,100,11462,11450,11432,11446,11490
65535,909,100,11467,11497,11453,11452,11498
65535,909,100,11468,11486,11456,11433,11520
65535,909,100,11478,11500,11470,11464,11516
65535,909,100,11465,11489,11474,11468,11520
65535,909,100,11478,11488,11472,11483,11522
65535,909,100,11487,11484,11482,11476,11491
65535,909,100,11476,11534,11488,11448,11504
65535,909,100,11477,11507,11492,11456,11520
65535,909,100,11465,11494,11456,11448,11530
65535,909,100,11439,11477,11438,11405,11497
65535,909,100,11440,11475,11455,11419,11490
65535,909,100,11453,11475,11461,11431,11493
65535,909,100,11449,11465,11469,11444,11504
65535,909,100,11441,11452,11472,11447,11511
65535,909,100,11436,11451,11475,11419,11508
65535,909,100,11447,11448,11483,11411,11524
65535,909,100,11442,11452,11487,11436,11498
65535,909,100,11451,11463,11466,11421,11499
65535,909,100,11442,11456,11442,11429,11502
65535,909,100,11446,11458,11429,11435,11504
65535,909,100,11451,11458,11435,11424,11466
65535,909,100,11465,11456,11446,11443,11456
65535,909,100,11471,11453,11472,11452,11475
65535,909,100,11471,11453,11485,11442,11491
65535,909,100,11477,11454,11485,11445,11502
65535,909,100,11464,11448,11485,11436,11518
65535,909,100,11456,11445,11456,11441,11527
65535,909,100,11457,11442,11436,11446,11495
65535,909,100,11461,11431,11464,11427,11480
65535,909,100,11465,11436,11439,11428,11457
65535,909,100,11472,11430,11453,11444,11472
65535,909,100,11476,11440,11466,11440,11480
65535,909,100,11461,11440,11472,11443,11459
65535,909,100,11451,11446,11472,11442,11473
65535,909,100,11460,11442,11451,11454,11494
65535,909,100,11469,11454,11461,11449,11470
65535,909,100,11455,11461,11442,11429,11456
65535,909,100,11467,11464,11453,11443,11477
65535,909,100,11461,11468,11466,11447,11490
65535,909,100,11464,11463,11475,11460,11518
65535,909,100,11463,11460,11442,11441,11517
65535,909,100,11467,11463,11454,11443,11484
65535,909,100,11482,11458,11459,11446,11492
65535,909,100,11476,11452,11467,11454,11500
65535,909,100,11473,11451,11446,11465,11514
65535,909,100,11480,11457,11467,11443,11517
65535,909,100,11484,11456,11467,11442,11488
65535,909,100,11479,11450,11441,11422,11500
65535,909,100,11480,11451,11423,11406,11510
65535,909,100,11481,11448,11414,11420,11508
65535,909,100,11464,11453,11436,11429,11484
65535,909,100,11464,11454,11428,11443,11495
65535,909,100,11475,11455,11444,11459,11472
