config01:Slider00:Status,Threshold,Resolution,TS15:Measurement Value,TS14:Measurement Value,TS13:Measurement Value,TS12:Measurement Value,TS01:Measurement Value
65535,909,100,11422,11435,11424,11434,11319
65535,909,100,11424,11449,11407,11435,11332
65535,909,100,11439,11449,11412,11418,11334
65535,909,100,11447,11445,11402,11398,11343
65535,909,100,11440,11440,11421,11384,11350
65535,909,100,11443,11435,11431,11395,11345
65535,909,100,11457,11438,11441,11408,11355
65535,909,100,11460,11432,11414,11378,11364
65535,909,100,11460,11428,11403,11365,11364
65535,909,100,11452,11427,11400,11362,11367
65535,909,100,11446,11421,11395,11362,11373
65535,909,100,11451,11421,11418,11381,11375
65535,909,100,11436,11422,11431,11397,11343
65535,909,100,11445,11430,11439,11386,11325
65535,909,100,11438,11426,11445,11403,11302
65535,909,100,11439,11418,11454,11410,11316
65535,909,100,11436,11459,11466,11396,11297
65535,909,100,11443,11455,11470,11411,11311
65535,909,100,11436,11447,11470,11390,11294
65535,909,100,11445,11439,11447,11406,11312
65535,909,100,11441,11436,11437,11388,11331
65535,909,100,11449,11435,11414,11402,11350
65535,909,100,11451,11428,11405,11411,11324
65535,909,100,11450,11430,11417,11404,11338
65535,909,100,11468,11430,11420,11409,11346
65535,909,100,11453,11432,11432,11393,11324
65535,909,100,11452,11437,11417,11408,11334
65535,909,100,11445,11433,11423,11394,11345
65535,909,100,11450,11423,11422,11413,11357
65535,909,100,11460,11428,11402,11422,11357
65535,909,100,11467,11424,11387,11434,11364
65535,909,100,11451,11426,11378,11412,11366
65535,909,100,11459,11430,11406,11395,11361
65535,909,100,11459,11429,11425,11417,11364
65535,909,100,11468,11432,11443,11392,11329
65535,909,100,11468,11428,11440,11411,11334
65535,909,100,11450,11427,11439,11429,11311
65535,909,100,11459,11429,11458,11427,11327
65535,909,100,11462,11426,11439,11407,11343
65535,909,100,11448,11426,11448,11422,11315
65535,909,100,11444,11428,11454,11432,11296
65535,909,100,11429,11428,11447,11414,11284
