2025-04-24T22:45:21
Configurations(Methods):
Name,Touch Interfaces
config01,"Slider00, TS15, TS14, TS13, TS12, TS01"
Logs:
"config01:Slider00:Status",Threshold,Resolution,TS15:Measurement Value,TS14:Measurement Value,TS13:Measurement Value,TS12:Measurement Value,TS01:Measurement Value
65535,909,100,11489,11489,11449,11454,11530
65535,909,100,11472,11484,11456,11454,11535
65535,909,100,11479,11473,11470,11448,11520
65535,909,100,11481,11475,11448,11420,11522
65535,909,100,11479,11469,11430,11428,11491
65535,909,100,11463,11465,11435,11437,11494
65535,909,100,11453,11459,11449,11415,11510
65535,909,100,11452,11460,11457,11434,11519
65535,909,100,11459,11460,11454,11453,11518
65535,909,100,11464,11464,11440,11410,11519
65535,909,100,11475,11466,11469,11396,11510
65535,909,100,11475,11459,11450,11406,11523
65535,909,100,11472,11466,11453,11410,11516
65535,909,100,11480,11470,11461,11405,11493
65535,909,100,11483,11464,11470,11421,11498
65535,909,100,11491,11463,11483,11435,11511
65535,909,100,11483,11470,11486,11441,11515
65535,909,100,11486,11465,11466,11424,11489
65535,909,100,11488,11471,11469,11445,11485
65535,909,100,11481,11472,11477,11429,11494
65535,909,100,11473,11472,11451,11413,11508
65535,909,100,11463,11517,11464,11407,11514
65535,909,100,11475,11505,11472,11419,11517
65535,909,100,11481,11486,11451,11400,11520
65535,909,100,11460,11532,11431,11416,11515
65535,909,100,11455,11515,11448,11419,11512
65535,909,100,11438,11502,11459,11404,11486
65535,909,100,11447,11488,11463,11412,11501
65535,909,100,11470,11483,11469,11438,11481
65535,909,100,11467,11474,11470,11454,11498
65535,909,100,11458,11466,11477,11438,11507
65535,909,100,11459,11471,11493,11444,11513
65535,909,100,11464,11516,11499,11451,11514
65535,909,100,11480,11502,11508,11467,11516
65535,909,100,11483,11491,11490,11449,11506
65535,909,100,11481,11491,11462,11450,11509
65535,909,100,11478,11488,11480,11426,11513
65535,909,100,11470,11475,11485,11432,11517
65535,909,100,11480,11472,11496,11443,11510
65535,909,100,11494,11481,11479,11458,11521
65535,909,100,11479,11476,11481,11456,11490
65535,909,100,11464,11475,11488,11431,11500
65535,909,100,11469,11483,11492,11420,11508
65535,909,100,11470,11479,11468,11434,11485
65535,909,100,11464,11463,11451,11454,11489
65535,909,100,11472,11469,11449,11418,11465
65535,909,100,11483,11463,11433,11404,11450
65535,909,100,11481,11459,11450,11417,11476
65535,909,100,11467,11458,11470,11401,11487
65535,909,100,11477,11459,11458,11422,11466
65535,909,100,11469,11452,11484,11422,11482
65535,909,100,11475,11445,11468,11429,11494
65535,909,100,11479,11443,11469,11438,11496
