config01:Slider00:Status,Threshold,Resolution,TS15:Measurement Value,TS14:Measurement Value,TS13:Measurement Value,TS12:Measurement Value,TS01:Measurement Value,t
0,909,100,12400,11523,11493,11480,11578,0.0
0,909,100,12421,11514,11482,11488,11571,0.02
0,909,100,12448,11517,11488,11509,11581,0.04
0,909,100,12857,11563,11518,11502,11546,0.06
0,909,100,12881,11577,11520,11504,11556,0.08
0,909,100,12901,11601,11528,11490,11563,0.1
0,909,100,12919,11622,11526,11506,11563,0.12
0,909,100,12936,11646,11539,11483,11558,0.14
0,909,100,12907,11662,11537,11463,11559,0.16
0,909,100,12904,11684,11542,11448,11540,0.18
0,909,100,13014,11680,11531,11492,11544,0.2
0,909,100,13023,11659,11539,11484,11522,0.22
0,909,100,13057,11640,11540,11488,11531,0.24
0,909,100,13069,11617,11536,11463,11544,0.26
0,909,100,13089,11602,11529,11462,11556,0.28
0,909,100,13093,11585,11530,11448,11555,0.3
0,909,100,13093,11569,11501,11458,11559,0.32
0,909,100,13084,11560,11502,11470,11527,0.34
0,909,100,13000,11512,11459,11472,11549,0.36
0,909,100,12651,11535,11448,11446,11515,0.38
0,909,100,12594,11529,11438,11450,11514,0.4
0,909,100,12555,11519,11451,11435,11536,0.42
0,909,100,12509,11512,11466,11460,11545,0.44
0,909,100,12451,11504,11467,11442,11535,0.46
0,909,100,12405,11555,11478,11460,11511,0.48
0,909,100,12355,11541,11456,11453,11517,0.5
0,909,100,12308,11533,11478,11461,11500,0.52
0,909,100,12258,11521,11458,11455,11478,0.54
0,909,100,12213,11520,11475,11475,11514,0.56
0,909,100,12187,11510,11455,11483,11498,0.58
0,909,100,12145,11499,11479,11482,11523,0.6
0,909,100,12096,11488,11469,11497,11543,0.62
0,909,100,12057,11485,11465,11458,11561,0.64
0,909,100,12034,11495,11465,11441,11564,0.66
0,909,100,11958,11497,11477,11494,11524,0.68
0,909,100,12020,11508,11489,11474,11529,0.7000000000000001
0,909,100,12091,11491,11464,11489,11528,0.72
0,909,100,12335,11508,11480,11510,11514,0.74
0,909,100,12693,11511,11461,11434,11527,0.76
0,909,100,12757,11511,11464,11449,11522,0.78
0,909,100,13025,11531,11472,11465,11522,0.8
0,909,100,13030,11539,11488,11444,11523,0.8200000000000001
0,909,100,13081,11560,11512,11476,11517,0.84
0,909,100,13086,11555,11506,11470,11513,0.86
0,909,100,13088,11622,11492,11468,11501,0.88
0,909,100,13112,11613,11504,11449,11518,0.9
0,909,100,13117,11622,11517,11457,11523,0.92
0,909,100,13094,11626,11519,11471,11522,0.9400000000000001
0,909,100,13099,11632,11515,11472,11531,0.96
0,909,100,13095,11653,11528,11474,11535,0.98
0,909,100,13096,11671,11524,11482,11540,1.0
0,909,100,13060,11686,11525,11455,11536,1.02
0,909,100,13091,11598,11472,11426,11546,1.04
0,909,100,13084,11578,11476,11411,11544,1.06
0,909,100,13078,11569,11478,11401,11536,1.08
0,909,100,13069,11556,11492,11423,11540,1.1
0,909,100,13069,11548,11494,11448,11535,1.12
0,909,100,13080,11589,11469,11456,11540,1.1400000000000001
0,909,100,13078,11556,11452,11469,11545,1.16
0,909,100,13082,11532,11457,11481,11543,1.18
0,909,100,13062,11518,11470,11480,11546,1.2
0,909,100,12922,11511,11452,11492,11549,1.22
0,909,100,12686,11494,11456,11421,11526,1.24
0,909,100,12631,11532,11462,11421,11531,1.26
0,909,100,12609,11515,11471,11445,11533,1.28
0,909,100,12500,11500,11454,11417,11560,1.3
0,909,100,12467,11495,11436,11417,11560,1.32
0,909,100,12429,11493,11433,11449,11565,1.34
0,909,100,12395,11494,11426,11449,11572,1.36
0,909,100,12368,11489,11406,11442,11574,1.3800000000000001
0,909,100,12324,11487,11428,11443,11569,1.4000000000000001
0,909,100,12302,11490,11421,11473,11568,1.42
0,909,100,12282,11503,11437,11475,11563,1.44
0,909,100,12266,11495,11459,11475,11560,1.46
0,909,100,12251,11487,11445,11488,11556,1.48
0,909,100,12219,11486,11454,11490,11526,1.5
0,909,100,12162,11483,11445,11490,11532,1.52
0,909,100,12141,11491,11433,11502,11541,1.54
0,909,100,12018,11511,11455,11480,11572,1.56
0,909,100,12004,11500,11441,11482,11560,1.58
0,909,100,11957,11507,11455,11483,11559,1.6
0,909,100,12068,11523,11506,11465,11494,1.62
0,909,100,12191,11506,11477,11433,11508,1.6400000000000001
0,909,100,12794,11530,11489,11474,11567,1.6600000000000001
0,909,100,12827,11536,11486,11474,11579,1.68
0,909,100,12862,11545,11495,11478,11539,1.7
0,909,100,12886,11539,11471,11496,11532,1.72
0,909,100,12916,11536,11487,11497,11543,1.74
0,909,100,12945,11541,11493,11506,11539,1.76
0,909,100,12968,11549,11478,11480,11510,1.78
0,909,100,12984,11543,11492,11482,11534,1.8
0,909,100,13002,11553,11494,11500,11511,1.82
0,909,100,13021,11563,11509,11495,11517,1.84
0,909,100,13044,11572,11515,11517,11533,1.86
0,909,100,13067,11582,11519,11485,11546,1.8800000000000001
0,909,100,13075,11582,11518,11457,11536,1.9000000000000001
0,909,100,13081,11587,11492,11467,11518,1.92
0,909,100,13081,11582,11499,11474,11533,1.94
0,909,100,13098,11592,11509,11473,11556,1.96
0,909,100,13112,11603,11519,11491,11552,1.98
0,909,100,13107,11612,11539,11510,11565,2.0
0,909,100,13109,11619,11542,11485,11560,2.02
0,909,100,13093,11632,11544,11464,11564,2.04
0,909,100,13091,11649,11539,11449,11530,2.06
0,909,100,13111,11660,11537,11466,11547,2.08
0,909,100,13105,11661,11534,11453,11560,2.1
0,909,100,13235,11672,11481,11476,11552,2.12
0,909,100,13246,11641,11464,11490,11554,2.14
0,909,100,13255,11613,11456,11490,11519,2.16
0,909,100,13263,11601,11437,11470,11529,2.18
0,909,100,13208,11556,11467,11482,11551,2.2
0,909,100,13175,11549,11475,11467,11546,2.22
0,909,100,13148,11537,11458,11478,11522,2.24
0,909,100,13115,11529,11447,11476,11537,2.2600000000000002
0,909,100,12899,11494,11448,11460,11558,2.2800000000000002
